AMZ1	C4orf46
APOC1	C4orf46
BBLN	C4orf46
BIN3	C4orf46
C17orf58	C4orf46
ANKRD7	C5
AIDA	C5orf22
ABCD4	C5orf24
ASPG	C5orf47
ASPHD1	C6
C2orf72	C6orf120
BAG2	C6orf141
BDH2	C6orf226
ARMCX3	C6orf52
C1S	C6orf89
APOBEC3B	C7orf57
ATP6V0D2	C8A
BEND5	C8A
ASPG	C8G
ADAMDEC1	C8orf48
ABHD17B	C9orf153
C2orf76	C9orf153
ARMCX4	C9orf43
ADGRV1	CA10
ARSB	CA10
ACP5	CA14
ALB	CA14
BDH2	CA3
C19orf38	CA7
ARHGEF39	CA9
ARID5B	CABCOCO1
ASF1A	CABIN1
ACAD10	CABP1
BPIFA1	CABYR
ABCA4	CACNA1A
ASF1B	CACNA1A
ABHD16B	CACNA1B
ALLC	CACNA1B
B4GALNT3	CACNA1C
AVPR1A	CACNA1I
ARL8A	CACNA1S
ATP2B4	CACNA1S
BLVRA	CACNA1S
AMIGO1	CACNA2D2
B4GALNT3	CACNA2D4
AQP6	CACNB3
ADGRV1	CACNG2
ABCA5	CACNG3
ABCC12	CACNG3
ADAMTS6	CACNG3
AKAP8	CACNG3
ANKRD50	CACNG3
AP4S1	CACNG3
ARFGAP3	CACNG3
ARHGAP15	CACNG3
ARMH1	CACNG3
ATOH8	CACNG3
ATP2A1	CACNG3
BARHL2	CACNG3
BLOC1S6	CACNG3
BNIP3	CACNG3
BPIFC	CACNG3
BVES	CACNG3
C3orf22	CACNG3
CACNG2	CACNG3
APOL2	CACYBP
APOBEC3B	CADM2
AIM2	CADM3
ANGPTL5	CAGE1
ABCA1	CALCOCO2
ACSM3	CALCOCO2
ARMH4	CALCOCO2
C6orf89	CALCOCO2
ABCB1	CALCR
BBS10	CALD1
ADH1A	CALHM1
ASAH2	CALHM1
CACFD1	CALHM1
C5orf46	CALHM2
BUD23	CALHM5
ARMC12	CALM1
ARL1	CALM2
ASPM	CALM2
ABI2	CALML3
ADARB2	CALML3
ASB13	CALML3
ABHD14A	CALML4
ANKRD65	CALML6
C2orf76	CALR3
AFF1	CALU
ATP6V0E2	CALY
ABCB8	CAMK2A
ANKRD61	CAMK2A
APOBEC3B	CAMKK1
ABTB3	CAMKK2
C1QTNF5	CAMKK2
APOLD1	CAMP
ARHGEF7	CAMSAP2
AKR7A3	CAND2
ASB13	CAND2
ASPHD1	CAND2
BIN3	CAND2
C20orf202	CAND2
C1QTNF1	CANT1
BOD1	CANX
ACTB	CAP1
ALDH3A1	CAPG
ARHGAP25	CAPG
CACNA1S	CAPG
CAMP	CAPG
BAD	CAPN1
ATG4B	CAPN10
ASXL1	CAPN11
ARMCX3	CAPN12
BID	CAPN14
CAPN3	CAPN5
ADAM11	CAPN6
BPNT1	CAPN9
APCS	CAPNS2
C2orf76	CAPS2
CAP1	CAPZB
BCL10	CARD10
ADAMTS17	CARD14
ANKRD9	CARD9
BTN3A3	CARMIL1
ADD2	CARMIL2
ADCY4	CARMIL3
CACNA1S	CARTPT
ATP6V0D2	CASC3
C2orf76	CASD1
CARD18	CASP1
C2orf80	CASP10
ANKRD26	CASP2
ADAM29	CASP3
ALDH1L2	CASP3
ACAT1	CASP5
CARD16	CASP5
AFAP1L2	CASP7
BID	CASP8
ANXA9	CASQ1
CARTPT	CASQ1
ACSL6	CASQ2
BPIFA1	CASR
APCDD1L	CASS4
BDH2	CASS4
ARHGEF28	CAST
AGRN	CASZ1
C1orf127	CASZ1
ATG4D	CATIP
ANKS1A	CATSPER2
ARHGAP33	CATSPERG
ATP13A2	CAV1
ASZ1	CAV2
CAV1	CAV2
ACTRT2	CAV3
ABHD17C	CAVIN2
CAMK2N2	CAVIN2
C9orf153	CAVIN4
CACNG3	CAVIN4
APC2	CBARP
ATP8B3	CBARP
ABI3BP	CBLB
APOC2	CBLC
CARD11	CBLN1
CALHM5	CBLN2
ADAM23	CBR3
BMAL2	CBR3
C4orf46	CBR4
AFMID	CBX2
BMI1	CBX4
ANKMY2	CBX5
ACRV1	CBX8
ACAP3	CBY3
AGTRAP	CBY3
BTNL9	CBY3
C5orf47	CBY3
CALCB	CBY3
CALHM1	CC2D1A
AKR1A1	CC2D1B
ATP7B	CC2D2B
ADGRG5	CCDC102A
ALDOC	CCDC102A
BID	CCDC102A
ARHGEF39	CCDC107
AIMP1	CCDC110
ANKRD22	CCDC112
BEX3	CCDC112
AIRIM	CCDC115
ATP6V0E1	CCDC115
AIFM3	CCDC116
ADTRP	CCDC117
ACTR8	CCDC12
ANKRD28	CCDC122
ANTXR2	CCDC122
C2orf76	CCDC122
AHRR	CCDC127
ANKEF1	CCDC13
ARAF	CCDC13
ASPG	CCDC13
ACOXL	CCDC138
ADPGK	CCDC142
ABCA13	CCDC146
ANKRD44	CCDC146
ABCC12	CCDC148
ABHD17B	CCDC148
ANKRD28	CCDC148
ANKRD45	CCDC148
APIP	CCDC148
ARL1	CCDC148
ARMH2	CCDC148
ATP6V0D2	CCDC148
BRS3	CCDC148
C12orf42	CCDC148
C2orf76	CCDC148
CBX4	CCDC148
BCL2L13	CCDC15
ARMCX4	CCDC150
ATP6V0D2	CCDC159
BBIP1	CCDC160
ARHGAP39	CCDC166
AQP11	CCDC167
CACNG3	CCDC169
B4GALT2	CCDC17
ACADM	CCDC172
C10orf120	CCDC172
CCDC148	CCDC172
BPIFB4	CCDC174
CBX7	CCDC174
ASXL3	CCDC178
ATF5	CCDC180
ARSK	CCDC181
ABCA2	CCDC183
C2orf49	CCDC190
AK1	CCDC25
CALML6	CCDC27
ARHGAP44	CCDC3
C1orf141	CCDC30
CACNG3	CCDC30
CCDC148	CCDC30
AAGAB	CCDC32
AP2A1	CCDC32
AP2M1	CCDC32
AP2S1	CCDC32
C10orf88	CCDC32
C1GALT1C1	CCDC32
CA6	CCDC33
ABHD10	CCDC34
ABCB5	CCDC38
ADGRF1	CCDC38
ALDH1L2	CCDC38
ANGPTL7	CCDC40
ARHGEF10L	CCDC40
ABI3BP	CCDC54
BCCIP	CCDC59
C18orf21	CCDC59
ASIP	CCDC63
AGR3	CCDC66
BPIFC	CCDC69
AVEN	CCDC74A
ADH6	CCDC80
ARHGAP31	CCDC80
ATP8B2	CCDC80
APC2	CCDC85C
BAD	CCDC88B
CCDC83	CCDC89
BAIAP2L2	CCDC9
ARL6IP1	CCDC90B
ABCC12	CCDC91
ARB2A	CCDC91
ASAH1	CCDC91
ATP5MJ	CCDC91
CACNG3	CCDC91
CAMK4	CCDC91
CAPZA3	CCDC91
CCDC22	CCDC93
CCDC9	CCK
CAPNS2	CCKAR
C17orf78	CCL1
BLMH	CCL13
CCL1	CCL13
CCL13	CCL14
ANKRD66	CCL17
AUH	CCL17
CCL11	CCL2
CCL13	CCL2
CCL19	CCL21
CCL18	CCL23
AGXT2	CCL26
AKAP14	CCL26
ANKS1A	CCL26
ATOH7	CCL26
BAZ1B	CCL26
BDH2	CCL26
BIN3	CCL26
BMP7	CCL26
BPIFB6	CCL26
CACNB4	CCL26
CASTOR1	CCL26
CCDC71	CCL26
CCDC9B	CCL26
CCL24	CCL26
CCL19	CCL27
ANXA2R	CCL28
ACSM2A	CCL3
BTN3A2	CCL3
APBA2	CCL3L3
C5orf34	CCL7
CCL1	CCL7
CCL2	CCL7
AP1AR	CCL8
ASIC2	CCL8
CCL11	CCL8
CCL18	CCL8
CCL23	CCL8
ASXL1	CCM2L
CBFA2T2	CCM2L
ABCD3	CCN1
C1orf52	CCN1
ADAMTSL2	CCN2
ADCYAP1	CCN2
ADH1B	CCN2
ADRB1	CCN2
ADRB3	CCN2
ANKRD61	CCN2
APOA4	CCN2
ARFGEF3	CCN2
ARHGDIB	CCN2
ARHGEF4	CCN2
ARSG	CCN2
ASPG	CCN2
AVPR1A	CCN2
B3GALT4	CCN2
BASP1	CCN2
C1QL3	CCN2
C1QL4	CCN2
C1orf53	CCN2
CCER1	CCN2
C16orf89	CCNA1
CCDC148	CCNA1
BUB1B	CCNB1
CATSPER4	CCNB2
CCDC91	CCNB2
BATF	CCND2
ASXL1	CCNDBP1
CCDC47	CCNF
CCNG1	CCNI
C5orf15	CCNI2
ACAP3	CCNL2
ARL15	CCNO
C1orf115	CCNO
CCDC148	CCR1
CA5A	CCR3
CCR2	CCR5
BCAM	CCR9
C2orf73	CCRL2
BID	CCSER1
CA12	CCSER1
ACSM2B	CCSER2
CCT4	CCT6A
APEX1	CCT6B
CCT2	CCT7
CCT2	CCT8
BID	CCT8L2
ADAM30	CD101
BVES	CD101
CASQ2	CD101
CCDC125	CD101
CCDC124	CD14
CCN6	CD163L1
ANKEF1	CD164
C15orf39	CD164
C1orf35	CD164
CCN2	CD164
AHDC1	CD164L2
CA6	CD164L2
CALCOCO2	CD180
BLNK	CD19
C1orf185	CD1B
CACNG3	CD1E
ADGRG7	CD200R1
ABL2	CD247
AK8	CD276
ATF3	CD276
BBIP1	CD28
CCDC40	CD300E
ABCA9	CD300LB
ACMSD	CD300LB
APOBEC3B	CD300LD
ATP5MK	CD300LD
ARHGDIA	CD320
ACP4	CD33
C1orf115	CD34
CD3D	CD3G
ARSI	CD4
ALDH9A1	CD40
ADAMTS6	CD40LG
BDH2	CD5
AFP	CD53
CD101	CD53
C2orf76	CD55
CACNG3	CD55
ACTL9	CD5L
ALDH7A1	CD5L
ALOX5	CD5L
B4GALNT2	CD5L
CALCRL	CD5L
CCDC85A	CD5L
CD1D	CD5L
AMDHD2	CD68
AIM2	CD69
B3GNTL1	CD7
ACSM2B	CD70
BTK	CD79A
CD79A	CD79B
CD79A	CD81
ADORA2A	CD82
CACNG3	CD9
BLZF1	CD96
CA6	CDA
BLZF1	CDADC1
CCDC68	CDADC1
CCDC82	CDADC1
CCNDBP1	CDADC1
BTBD8	CDC14A
BMP5	CDC14B
ANAPC1	CDC16
ANAPC4	CDC16
ANAPC10	CDC23
CCNB1	CDC25A
ADISSP	CDC25B
AP5S1	CDC25B
CCNA2	CDC25B
AK1	CDC25C
ANAPC10	CDC26
CCDC174	CDC26
AFDN	CDC42
B3GALNT2	CDC42BPA
AMN	CDC42BPB
B4GALNT4	CDC42BPB
BATF2	CDC42BPG
CAPN1	CDC42BPG
CATSPER1	CDC42EP2
ARL11	CDC42SE1
ANKLE2	CDC45
AHCTF1	CDC6
CDC26	CDC6
AGBL4	CDC73
AAAS	CDCA3
ANAPC1	CDCA5
BORA	CDCA5
CACNG3	CDCA7L
BIRC5	CDCA8
BUB3	CDCA8
ATP2C1	CDH11
CCL27	CDH12
ACSM2B	CDH13
ABCB9	CDH15
AGRP	CDH16
ABHD2	CDH22
ABRA	CDH22
C7orf57	CDH22
CD5L	CDH23
BRINP2	CDH24
BNIP3	CDH6
APOBEC3B	CDH9
CARD14	CDHR2
ANKRD33	CDHR3
CAVIN1	CDIN1
CDAN1	CDIN1
C16orf90	CDIP1
CCDC65	CDIP1
AIRIM	CDIPT
CCNY	CDK17
ARL8A	CDK18
AVPR1B	CDK18
CCDC148	CDK19
CCNE1	CDK2
CAMKK2	CDK2AP1
CCND1	CDK4
ABHD15	CDK5R1
C1RL	CDK5R1
ANTXRL	CDK5RAP1
ASPM	CDK5RAP2
CCND2	CDK6
CCND3	CDK6
CCNH	CDK7
CCNC	CDK8
ADAM17	CDKAL1
C14orf28	CDKL1
ACKR1	CDKL2
ALDH3A1	CDKL2
CAPN3	CDKL2
ADAM23	CDKL5
ASTN1	CDKL5
AMBRA1	CDKN1A
BAG6	CDKN1A
AMBRA1	CDKN1B
AMN	CDKN1C
CDKN2A	CDKN2B
AMBRA1	CDKN2C
CDKN1B	CDKN2C
C2orf76	CDKN3
CASD1	CDO1
C11orf71	CDON
ATF5	CDPF1
ACACB	CDR2
AMELX	CDR2L
ANGPTL6	CDR2L
CDRT15	CDRT15L2
AP1M1	CDS2
BANP	CDT1
CDC6	CDT1
BAZ2B	CDX1
CD74	CDX1
AKAP7	CDX4
ARRB1	CDX4
ARHGAP6	CDYL2
ACTL10	CEACAM1
